machine_id,vibration,temperature,pressure,up_time,down_time,status,last_maintenance_date,factory_id
M037,1.21,112,160,8591,85,Failed,2024-01-05,1
M034,2.71,120,193,2864,35,Needs Maintenance,2024-12-14,1
M043,2.86,108,141,2442,41,Failed,2024-04-04,1
M026,0.37,109,131,3285,15,Failed,2024-04-11,1
M025,2.07,68,177,9054,71,Needs Maintenance,2024-09-11,1
M040,2.95,75,176,6559,57,Needs Maintenance,2024-07-21,1
M002,2.8,95,102,5011,46,Failed,2024-12-10,1
M011,1.96,85,106,8906,0,Operational,2024-03-22,1
M042,2.79,79,143,7480,0,Operational,2024-02-23,1
M031,0.53,97,142,6378,0,Operational,2024-04-24,1
M047,0.73,118,152,6104,98,Needs Maintenance,2024-08-04,2
M012,0.45,109,172,7876,0,Operational,2024-08-15,2
M002,2.8,95,102,5011,46,Failed,2024-09-28,2
M050,2.26,77,184,7966,0,Operational,2024-09-26,2
M004,1.74,89,176,7578,100,Failed,2024-06-21,2
M046,0.28,102,147,3545,38,Needs Maintenance,2024-01-09,2
M026,0.37,109,131,3285,15,Failed,2024-01-11,2
M010,1.13,120,182,7579,0,Operational,2024-07-06,2
M008,2.95,100,149,5055,86,Failed,2024-10-20,2
M036,0.62,61,113,3618,0,Operational,2024-07-01,2
M032,0.67,71,198,3685,44,Needs Maintenance,2024-10-13,3
M034,2.71,120,193,2864,35,Needs Maintenance,2024-01-14,3
M027,0.36,102,146,9776,66,Failed,2024-06-28,3
M037,1.21,112,160,8591,85,Failed,2024-02-13,3
M034,2.71,120,193,2864,35,Needs Maintenance,2024-08-16,3
M005,1.26,84,178,6414,0,Operational,2024-05-15,3
M047,0.73,118,152,6104,98,Needs Maintenance,2024-08-31,3
M011,1.96,85,106,8906,0,Operational,2024-08-02,3
M012,0.45,109,172,7876,0,Operational,2024-11-30,3
M032,0.67,71,198,3685,44,Needs Maintenance,2024-04-30,3
M024,0.54,91,187,9145,0,Operational,2024-09-08,4
M048,1.09,102,194,5087,0,Operational,2024-11-15,4
M019,2.05,114,159,8781,0,Operational,2024-08-17,4
M007,2.85,64,105,5697,80,Needs Maintenance,2024-05-21,4
M039,2.71,63,109,7048,0,Operational,2024-06-22,4
M001,0.59,77,181,4250,75,Needs Maintenance,2024-12-28,4
M009,0.3,79,128,4982,78,Needs Maintenance,2024-05-26,4
M023,0.52,81,165,3727,17,Failed,2024-03-15,4
M028,2.67,101,115,2787,27,Failed,2024-12-27,4
M043,2.86,108,141,2442,41,Failed,2024-02-22,4
M037,1.21,112,160,8591,85,Failed,2024-06-06,5
M047,0.73,118,152,6104,98,Needs Maintenance,2024-01-02,5
M040,2.95,75,176,6559,57,Needs Maintenance,2024-09-23,5
M015,2.32,99,166,8487,0,Operational,2024-02-11,5
M046,0.28,102,147,3545,38,Needs Maintenance,2024-03-12,5
M005,1.26,84,178,6414,0,Operational,2024-10-01,5
M006,1.62,67,190,9020,0,Operational,2024-09-11,5
M013,1.69,61,179,8845,0,Operational,2024-04-28,5
M037,1.21,112,160,8591,85,Failed,2024-10-28,5
M024,0.54,91,187,9145,0,Operational,2024-07-19,5
M013,1.69,61,179,8845,0,Operational,2024-08-14,6
M043,2.86,108,141,2442,41,Failed,2024-04-25,6
M031,0.53,97,142,6378,0,Operational,2024-01-30,6
M017,2.2,101,123,8681,0,Operational,2024-09-15,6
